Laufke ; bar ;47.073789;15.448197;0;0; 15:30 ; 02:00 ; 15:30 ; 02:00 ; 15:30 ; 02:00 ; 15:30 ; 02:00 ; 15:30 ; 02:00 ;0;0
Pharmacy ; bar/lounge ;47.072668;15.452511; 17:00 ; 01:00 ; 17:00 ; 02:00 ; 17:00 ; 02:00 ; 17:00 ; 02:00 ; 17:00 ; 04:00 ; 17:00 ; 04:00 ;0;0
Orange ; bar ;47.074634;15.451738; 09:00 ; 03:00 ; 09:00 ; 03:00 ; 09:00 ; 05:00 ; 09:00 ; 05:00 ; 09:00 ; 05:00 ; 09:00 ; 05:00 ; 09:00 ; 18:00
Kupferstadl ; discostadl ;47.043195;15.485281;0;0;0;0;0;0;0;0; 21:00 ; 05:00 ; 21:00 ; 05:00 ;0;0
Fledermaus ; disco/stadl ;47.025845;15.435673;0;0;0;0;0;0; 21:00 ; 05:00 ; 21:00 ; 07:00 ; 21:00 ; 07:00 ;0;0
Balkan Palace ; bar/disco ;47.066377;15.431997;0;0;0;0;0;0;0;0; 21:00 ; 05:00 ; 21:00 ; 05:00 ;0;0
Bur Bar ; bar/disco ;47.032997;15.429856; 11:00 ; 01:00 ; 11:00 ; 01:00 ; 11:00 ; 01:00 ; 11:00 ; 01:00 ; 11:00 ; 03:00 ; 11:00 ; 24:00 ;0;0
Postgarage ; disco ;47.066080;15.428731; 09:00 ; 14:00 ; 09:00 ; 14:00 ; 09:00 ; 14:00 ; 09:00 ; 14:00 ; 09:00 ; 14:00 ;0;0;0;0
TU-Graz Non-Stop ; disco ;47.059230;15.463250; 08:00 ; 05:00 ; 08:00 ; 05:00 ; 08:00 ; 05:00 ; 08:00 ; 05:00 ; 08:00 ; 05:00 ;08:00;05:00;08:00;05:00
Clubber-Home ; disco ;47.051226;15.452952; 08:00 ; 05:00 ; 08:00 ; 05:00 ; 08:00 ; 05:00 ; 08:00 ; 05:00 ; 08:00 ; 05:00 ;08:00;05:00;08:00;05:00
